Nome           |  AirDrop #0 |    Top #200 |    Top #100 |      Top #50 |       Top #10
kaleaze        |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
horus          |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
gregp          |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
fabix83        |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
chibiz         |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
arthur225      |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
ankara         |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
abhicherath    |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Tiago L.       |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Nnotm          |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Kiryu vtuber   |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
EduardoRFS     |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Diego Sano     |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Despa          |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Carbide        |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
CWhy           |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Blakat         |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
Anna Bida      |   30275 KGT |   R$ 302.75 |  R$ 1513.75 |   R$ 3935.75 |   R$ 38146.50
WargnerPrest   |    1756 KGT |    R$ 17.56 |    R$ 87.80 |    R$ 228.28 |    R$ 2212.56
